    Z      	  a(m)    	   a'    	  b(m) 	   b'
2.2561E-3	2.906655E-4	-3.805242E-2	3.51886E-4	6.005174E-2
2.272E-3	2.900559E-4	-3.862191E-2	3.528463E-4	6.074911E-2
2.2879E-3	2.894373E-4	-3.91902E-2	3.538178E-4	6.144838E-2
2.3038E-3	2.888097E-4	-3.975726E-2	3.548004E-4	6.214957E-2
2.3197E-3	2.881731E-4	-4.032307E-2	3.557942E-4	6.285271E-2
2.3356E-3	2.875274E-4	-4.088763E-2	3.567991E-4	6.355782E-2
2.3515E-3	2.868728E-4	-4.14509E-2	3.578153E-4	6.426492E-2
2.3674E-3	2.862093E-4	-4.201287E-2	3.588428E-4	6.497403E-2
2.3833E-3	2.855368E-4	-4.257353E-2	3.598815E-4	6.568518E-2
2.3992E-3	2.848555E-4	-4.313286E-2	3.609316E-4	6.639838E-2
2.4151E-3	2.841652E-4	-4.369084E-2	3.61993E-4	6.711366E-2
2.431E-3	2.834661E-4	-4.424745E-2	3.630658E-4	6.783105E-2
2.4469E-3	2.827582E-4	-4.480267E-2	3.6415E-4	6.855055E-2
2.4628E-3	2.820414E-4	-4.535649E-2	3.652457E-4	6.927221E-2
2.4787E-3	2.813158E-4	-4.59089E-2	3.663529E-4	6.999603E-2
2.4946E-3	2.805815E-4	-4.645986E-2	3.674716E-4	7.072205E-2
2.5105E-3	2.798384E-4	-4.700937E-2	3.686019E-4	7.145028E-2
2.5264E-3	2.790866E-4	-4.755741E-2	3.697437E-4	7.218075E-2
2.5423E-3	2.783261E-4	-4.810396E-2	3.708972E-4	7.291348E-2
2.5582E-3	2.775569E-4	-4.864901E-2	3.720624E-4	7.364849E-2
2.5741E-3	2.767791E-4	-4.919253E-2	3.732392E-4	7.438581E-2
2.59E-3	2.759926E-4	-4.973451E-2	3.744279E-4	7.512546E-2
2.64E-3	2.735061E-4	-4.972573E-2	3.781843E-4	7.513424E-2
2.69E-3	2.7102E-4	-4.971696E-2	3.819413E-4	7.514301E-2
2.74E-3	2.685344E-4	-4.970821E-2	3.856987E-4	7.515176E-2
2.79E-3	2.660492E-4	-4.969948E-2	3.894565E-4	7.516049E-2
2.84E-3	2.635644E-4	-4.969076E-2	3.932147E-4	7.516921E-2
2.89E-3	2.610801E-4	-4.968206E-2	3.969734E-4	7.517791E-2
2.94E-3	2.585962E-4	-4.967338E-2	4.007325E-4	7.518659E-2
2.99E-3	2.561128E-4	-4.966471E-2	4.04492E-4	7.519525E-2
3.04E-3	2.536298E-4	-4.965607E-2	4.08252E-4	7.52039E-2
3.09E-3	2.511472E-4	-4.964743E-2	4.120124E-4	7.521253E-2
3.14E-3	2.48665E-4	-4.963882E-2	4.157733E-4	7.522115E-2
3.19E-3	2.461833E-4	-4.963022E-2	4.195345E-4	7.522975E-2
3.24E-3	2.43702E-4	-4.962164E-2	4.232962E-4	7.523833E-2
3.29E-3	2.412211E-4	-4.961307E-2	4.270584E-4	7.52469E-2
3.34E-3	2.387407E-4	-4.960452E-2	4.308209E-4	7.525545E-2
3.39E-3	2.362607E-4	-4.959599E-2	4.345839E-4	7.526398E-2
3.44E-3	2.337811E-4	-4.958747E-2	4.383473E-4	7.527249E-2
3.49E-3	2.313019E-4	-4.957897E-2	4.421112E-4	7.528099E-2
3.54E-3	2.288232E-4	-4.957049E-2	4.458754E-4	7.528948E-2
3.59E-3	2.263449E-4	-4.956202E-2	4.496401E-4	7.529795E-2
3.64E-3	2.23867E-4	-4.955356E-2	4.534052E-4	7.53064E-2
3.69E-3	2.213895E-4	-4.954513E-2	4.571708E-4	7.531483E-2
3.74E-3	2.189125E-4	-4.953671E-2	4.609367E-4	7.532325E-2
3.79E-3	2.164359E-4	-4.95283E-2	4.647031E-4	7.533166E-2
