    Z      	  a(m)    	   a'    	  b(m) 	   b'
1.16E-4	1.900029E-4	5.001614E-5	1.900029E-4	5.001614E-5
1.17E-4	1.90003E-4	5.044731E-5	1.90003E-4	5.044731E-5
1.18E-4	1.90003E-4	5.087848E-5	1.90003E-4	5.087848E-5
1.19E-4	1.900031E-4	5.130964E-5	1.900031E-4	5.130964E-5
1.2E-4	1.900031E-4	5.174081E-5	1.900031E-4	5.174081E-5
1.21E-4	1.900032E-4	5.217197E-5	1.900032E-4	5.217197E-5
1.22E-4	1.900032E-4	5.260314E-5	1.900032E-4	5.260314E-5
1.23E-4	1.900033E-4	5.30343E-5	1.900033E-4	5.30343E-5
1.24E-4	1.900033E-4	5.346547E-5	1.900033E-4	5.346547E-5
1.25E-4	1.900034E-4	5.389663E-5	1.900034E-4	5.389663E-5
1.26E-4	1.900034E-4	5.43278E-5	1.900034E-4	5.43278E-5
1.27E-4	1.900035E-4	5.475896E-5	1.900035E-4	5.475896E-5
1.28E-4	1.900035E-4	5.519013E-5	1.900035E-4	5.519013E-5
1.29E-4	1.900036E-4	5.562129E-5	1.900036E-4	5.562129E-5
1.3E-4	1.900036E-4	5.605246E-5	1.900036E-4	5.605246E-5
1.31E-4	1.900037E-4	5.648362E-5	1.900037E-4	5.648362E-5
1.32E-4	1.900038E-4	5.691478E-5	1.900038E-4	5.691478E-5
1.33E-4	1.900038E-4	5.734595E-5	1.900038E-4	5.734595E-5
1.34E-4	1.900039E-4	5.777711E-5	1.900039E-4	5.777711E-5
1.35E-4	1.900039E-4	5.820827E-5	1.900039E-4	5.820827E-5
1.36E-4	1.90004E-4	5.863944E-5	1.90004E-4	5.863944E-5
1.37E-4	1.90004E-4	5.90706E-5	1.90004E-4	5.90706E-5
1.38E-4	1.900041E-4	5.950176E-5	1.900041E-4	5.950176E-5
1.39E-4	1.900042E-4	5.993292E-5	1.900042E-4	5.993292E-5
1.4E-4	1.900042E-4	6.036409E-5	1.900042E-4	6.036409E-5
1.41E-4	1.900043E-4	6.079525E-5	1.900043E-4	6.079525E-5
1.42E-4	1.900043E-4	6.122641E-5	1.900043E-4	6.122641E-5
1.43E-4	1.900044E-4	6.165757E-5	1.900044E-4	6.165757E-5
1.44E-4	1.900045E-4	6.208873E-5	1.900045E-4	6.208873E-5
1.45E-4	1.900045E-4	6.251989E-5	1.900045E-4	6.251989E-5
1.46E-4	1.900046E-4	6.295105E-5	1.900046E-4	6.295105E-5
1.47E-4	1.900047E-4	6.338221E-5	1.900047E-4	6.338221E-5
1.48E-4	1.900047E-4	6.381337E-5	1.900047E-4	6.381337E-5
1.49E-4	1.900048E-4	6.424453E-5	1.900048E-4	6.424453E-5
1.5E-4	1.900049E-4	6.467569E-5	1.900049E-4	6.467569E-5
1.51E-4	1.900049E-4	6.510685E-5	1.900049E-4	6.510685E-5
1.52E-4	1.90005E-4	6.553801E-5	1.90005E-4	6.553801E-5
1.53E-4	1.90005E-4	6.596917E-5	1.90005E-4	6.596917E-5
1.54E-4	1.900051E-4	6.640033E-5	1.900051E-4	6.640033E-5
1.55E-4	1.900052E-4	6.683149E-5	1.900052E-4	6.683149E-5
1.56E-4	1.900052E-4	6.726264E-5	1.900052E-4	6.726264E-5
1.57E-4	1.900053E-4	6.76938E-5	1.900053E-4	6.76938E-5
1.58E-4	1.900054E-4	6.812496E-5	1.900054E-4	6.812496E-5
1.59E-4	1.900055E-4	6.855612E-5	1.900055E-4	6.855612E-5
1.6E-4	1.900055E-4	6.898728E-5	1.900055E-4	6.898728E-5
1.61E-4	1.900056E-4	6.941843E-5	1.900056E-4	6.941843E-5
1.62E-4	1.900057E-4	6.984959E-5	1.900057E-4	6.984959E-5
1.63E-4	1.900057E-4	7.028075E-5	1.900057E-4	7.028075E-5
1.64E-4	1.900058E-4	7.07119E-5	1.900058E-4	7.07119E-5
1.65E-4	1.900059E-4	7.114306E-5	1.900059E-4	7.114306E-5
1.66E-4	1.900059E-4	7.157421E-5	1.900059E-4	7.157421E-5
1.67E-4	1.90006E-4	7.200537E-5	1.90006E-4	7.200537E-5
1.68E-4	1.900061E-4	7.243652E-5	1.900061E-4	7.243652E-5
1.69E-4	1.900062E-4	7.286768E-5	1.900062E-4	7.286768E-5
1.7E-4	1.900062E-4	7.329883E-5	1.900062E-4	7.329883E-5
1.71E-4	1.900063E-4	7.372999E-5	1.900063E-4	7.372999E-5
1.72E-4	1.900064E-4	7.416114E-5	1.900064E-4	7.416114E-5
1.73E-4	1.900065E-4	7.45923E-5	1.900065E-4	7.45923E-5
1.74E-4	1.900065E-4	7.502345E-5	1.900065E-4	7.502345E-5
1.75E-4	1.900066E-4	7.54546E-5	1.900066E-4	7.54546E-5
