    Z      	  a(m)    	   a'    	  b(m) 	   b'
2.431E-3	2.547689E-4	-5.750985E-3	2.463478E-4	6.459745E-3
2.4469E-3	2.546765E-4	-5.872494E-3	2.464515E-4	6.585214E-3
2.4628E-3	2.545822E-4	-5.993956E-3	2.465572E-4	6.710733E-3
2.4787E-3	2.544859E-4	-6.115371E-3	2.466649E-4	6.836305E-3
2.4946E-3	2.543877E-4	-6.236738E-3	2.467746E-4	6.961929E-3
2.5105E-3	2.542876E-4	-6.358056E-3	2.468863E-4	7.087608E-3
2.5264E-3	2.541855E-4	-6.479323E-3	2.47E-4	7.213341E-3
2.5423E-3	2.540815E-4	-6.600539E-3	2.471157E-4	7.33913E-3
2.5582E-3	2.539756E-4	-6.721704E-3	2.472334E-4	7.464976E-3
2.5741E-3	2.538678E-4	-6.842815E-3	2.473531E-4	7.59088E-3
2.59E-3	2.53758E-4	-6.963872E-3	2.474748E-4	7.716843E-3
2.6E-3	2.536884E-4	-6.961347E-3	2.47552E-4	7.719386E-3
2.61E-3	2.536188E-4	-6.958822E-3	2.476292E-4	7.72193E-3
2.62E-3	2.535492E-4	-6.956297E-3	2.477064E-4	7.724473E-3
2.63E-3	2.534797E-4	-6.953771E-3	2.477837E-4	7.727015E-3
2.64E-3	2.534101E-4	-6.951246E-3	2.478609E-4	7.729558E-3
2.65E-3	2.533406E-4	-6.94872E-3	2.479383E-4	7.7321E-3
2.66E-3	2.532712E-4	-6.946195E-3	2.480156E-4	7.734642E-3
2.67E-3	2.532017E-4	-6.943669E-3	2.480929E-4	7.737183E-3
2.68E-3	2.531323E-4	-6.941142E-3	2.481703E-4	7.739725E-3
2.69E-3	2.530629E-4	-6.938616E-3	2.482477E-4	7.742266E-3
2.7E-3	2.529935E-4	-6.93609E-3	2.483252E-4	7.744806E-3
2.71E-3	2.529242E-4	-6.933563E-3	2.484026E-4	7.747347E-3
2.72E-3	2.528548E-4	-6.931036E-3	2.484801E-4	7.749887E-3
2.73E-3	2.527855E-4	-6.928509E-3	2.485576E-4	7.752427E-3
2.74E-3	2.527163E-4	-6.925982E-3	2.486352E-4	7.754967E-3
2.75E-3	2.52647E-4	-6.923455E-3	2.487127E-4	7.757506E-3
2.76E-3	2.525778E-4	-6.920928E-3	2.487903E-4	7.760045E-3
2.77E-3	2.525086E-4	-6.9184E-3	2.488679E-4	7.762584E-3
2.78E-3	2.524394E-4	-6.915872E-3	2.489456E-4	7.765122E-3
2.79E-3	2.523703E-4	-6.913344E-3	2.490232E-4	7.767661E-3
2.8E-3	2.523012E-4	-6.910816E-3	2.491009E-4	7.770199E-3
2.81E-3	2.522321E-4	-6.908288E-3	2.491786E-4	7.772736E-3
2.82E-3	2.52163E-4	-6.905759E-3	2.492564E-4	7.775274E-3
2.83E-3	2.52094E-4	-6.903231E-3	2.493341E-4	7.777811E-3
2.84E-3	2.520249E-4	-6.900702E-3	2.494119E-4	7.780348E-3
2.85E-3	2.519559E-4	-6.898173E-3	2.494898E-4	7.782884E-3
2.86E-3	2.51887E-4	-6.895644E-3	2.495676E-4	7.785421E-3
2.87E-3	2.51818E-4	-6.893115E-3	2.496455E-4	7.787957E-3
2.88E-3	2.517491E-4	-6.890585E-3	2.497234E-4	7.790492E-3
2.89E-3	2.516802E-4	-6.888056E-3	2.498013E-4	7.793028E-3
2.9E-3	2.516114E-4	-6.885526E-3	2.498792E-4	7.795563E-3
2.91E-3	2.515425E-4	-6.882996E-3	2.499572E-4	7.798098E-3
2.92E-3	2.514737E-4	-6.880466E-3	2.500352E-4	7.800632E-3
2.93E-3	2.514049E-4	-6.877936E-3	2.501132E-4	7.803167E-3
2.94E-3	2.513361E-4	-6.875406E-3	2.501912E-4	7.805701E-3
2.95E-3	2.512674E-4	-6.872875E-3	2.502693E-4	7.808235E-3
2.96E-3	2.511987E-4	-6.870344E-3	2.503474E-4	7.810768E-3
2.97E-3	2.5113E-4	-6.867814E-3	2.504255E-4	7.813301E-3
2.98E-3	2.510613E-4	-6.865282E-3	2.505037E-4	7.815834E-3
2.99E-3	2.509927E-4	-6.862751E-3	2.505818E-4	7.818367E-3
3E-3	2.509241E-4	-6.86022E-3	2.5066E-4	7.820899E-3
3.01E-3	2.508555E-4	-6.857688E-3	2.507383E-4	7.823431E-3
3.02E-3	2.507869E-4	-6.855157E-3	2.508165E-4	7.825963E-3
3.03E-3	2.507184E-4	-6.852625E-3	2.508948E-4	7.828495E-3
3.04E-3	2.506499E-4	-6.850093E-3	2.509731E-4	7.831026E-3
3.05E-3	2.505814E-4	-6.847561E-3	2.510514E-4	7.833557E-3
3.06E-3	2.505129E-4	-6.845028E-3	2.511297E-4	7.836088E-3
3.07E-3	2.504445E-4	-6.842496E-3	2.512081E-4	7.838618E-3
3.08E-3	2.503761E-4	-6.839963E-3	2.512865E-4	7.841148E-3
3.09E-3	2.503077E-4	-6.83743E-3	2.513649E-4	7.843678E-3
3.1E-3	2.502393E-4	-6.834897E-3	2.514434E-4	7.846208E-3
3.11E-3	2.50171E-4	-6.832364E-3	2.515219E-4	7.848737E-3
3.12E-3	2.501027E-4	-6.829831E-3	2.516004E-4	7.851266E-3
3.13E-3	2.500344E-4	-6.827297E-3	2.516789E-4	7.853795E-3
3.14E-3	2.499661E-4	-6.824764E-3	2.517574E-4	7.856323E-3
3.15E-3	2.498979E-4	-6.82223E-3	2.51836E-4	7.858851E-3
3.16E-3	2.498297E-4	-6.819696E-3	2.519146E-4	7.861379E-3
3.17E-3	2.497615E-4	-6.817162E-3	2.519932E-4	7.863907E-3
3.18E-3	2.496933E-4	-6.814628E-3	2.520719E-4	7.866434E-3
3.19E-3	2.496252E-4	-6.812093E-3	2.521506E-4	7.868961E-3
3.2E-3	2.495571E-4	-6.809559E-3	2.522293E-4	7.871488E-3
3.21E-3	2.49489E-4	-6.807024E-3	2.52308E-4	7.874015E-3
