Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
2.67E-3	1.008674E-3	-5.150385E-2	1.153576E-3	1.152574E-1
2.68E-3	1.008159E-3	-5.150331E-2	1.154728E-3	1.15258E-1
2.69E-3	1.007644E-3	-5.150277E-2	1.155881E-3	1.152585E-1
2.7E-3	1.007129E-3	-5.150224E-2	1.157033E-3	1.15259E-1
2.71E-3	1.006614E-3	-5.15017E-2	1.158186E-3	1.152596E-1
2.72E-3	1.006099E-3	-5.150116E-2	1.159339E-3	1.152601E-1
2.73E-3	1.005584E-3	-5.150063E-2	1.160491E-3	1.152606E-1
2.74E-3	1.005069E-3	-5.150009E-2	1.161644E-3	1.152612E-1
2.75E-3	1.004554E-3	-5.149955E-2	1.162796E-3	1.152617E-1
2.76E-3	1.004039E-3	-5.149902E-2	1.163949E-3	1.152622E-1
2.77E-3	1.003524E-3	-5.149848E-2	1.165102E-3	1.152628E-1
2.78E-3	1.003009E-3	-5.149794E-2	1.166254E-3	1.152633E-1
2.79E-3	1.002494E-3	-5.149741E-2	1.167407E-3	1.152638E-1
2.8E-3	1.001979E-3	-5.149687E-2	1.16856E-3	1.152644E-1
2.81E-3	1.001464E-3	-5.149634E-2	1.169712E-3	1.152649E-1
2.82E-3	1.000949E-3	-5.14958E-2	1.170865E-3	1.152654E-1
2.83E-3	1.000434E-3	-5.149527E-2	1.172018E-3	1.15266E-1
2.84E-3	9.999194E-4	-5.149473E-2	1.17317E-3	1.152665E-1
2.85E-3	9.994044E-4	-5.14942E-2	1.174323E-3	1.15267E-1
2.86E-3	9.988895E-4	-5.149366E-2	1.175476E-3	1.152676E-1
2.87E-3	9.983746E-4	-5.149313E-2	1.176628E-3	1.152681E-1
2.88E-3	9.978596E-4	-5.149259E-2	1.177781E-3	1.152686E-1
2.89E-3	9.973447E-4	-5.149206E-2	1.178934E-3	1.152692E-1
2.9E-3	9.968298E-4	-5.149152E-2	1.180086E-3	1.152697E-1
2.91E-3	9.963149E-4	-5.149099E-2	1.181239E-3	1.152702E-1
2.92E-3	9.958E-4	-5.149045E-2	1.182392E-3	1.152708E-1
2.93E-3	9.952851E-4	-5.148992E-2	1.183544E-3	1.152713E-1
2.94E-3	9.947702E-4	-5.148938E-2	1.184697E-3	1.152718E-1
2.95E-3	9.942553E-4	-5.148885E-2	1.18585E-3	1.152723E-1
2.96E-3	9.937404E-4	-5.148832E-2	1.187003E-3	1.152729E-1
2.97E-3	9.932255E-4	-5.148778E-2	1.188155E-3	1.152734E-1
2.98E-3	9.927106E-4	-5.148725E-2	1.189308E-3	1.152739E-1
2.99E-3	9.921958E-4	-5.148672E-2	1.190461E-3	1.152745E-1
3E-3	9.916809E-4	-5.148618E-2	1.191614E-3	1.15275E-1
3.01E-3	9.91166E-4	-5.148565E-2	1.192766E-3	1.152755E-1
3.02E-3	9.906512E-4	-5.148512E-2	1.193919E-3	1.152761E-1
3.03E-3	9.901363E-4	-5.148459E-2	1.195072E-3	1.152766E-1
3.04E-3	9.896215E-4	-5.148405E-2	1.196225E-3	1.152771E-1
3.05E-3	9.891067E-4	-5.148352E-2	1.197377E-3	1.152776E-1
3.06E-3	9.885918E-4	-5.148299E-2	1.19853E-3	1.152782E-1
3.07E-3	9.88077E-4	-5.148246E-2	1.199683E-3	1.152787E-1
3.08E-3	9.875622E-4	-5.148192E-2	1.200836E-3	1.152792E-1
3.09E-3	9.870474E-4	-5.148139E-2	1.201989E-3	1.152798E-1
3.1E-3	9.865326E-4	-5.148086E-2	1.203141E-3	1.152803E-1
3.11E-3	9.860178E-4	-5.148033E-2	1.204294E-3	1.152808E-1
3.12E-3	9.85503E-4	-5.14798E-2	1.205447E-3	1.152813E-1
3.13E-3	9.849882E-4	-5.147927E-2	1.2066E-3	1.152819E-1
3.14E-3	9.844734E-4	-5.147874E-2	1.207753E-3	1.152824E-1
3.15E-3	9.839586E-4	-5.14782E-2	1.208905E-3	1.152829E-1
3.16E-3	9.834438E-4	-5.147767E-2	1.210058E-3	1.152834E-1
3.17E-3	9.82929E-4	-5.147714E-2	1.211211E-3	1.15284E-1
3.18E-3	9.824143E-4	-5.147661E-2	1.212364E-3	1.152845E-1
3.19E-3	9.818995E-4	-5.147608E-2	1.213517E-3	1.15285E-1
3.2E-3	9.813847E-4	-5.147555E-2	1.21467E-3	1.152855E-1
3.21E-3	9.8087E-4	-5.147502E-2	1.215822E-3	1.152861E-1
3.22E-3	9.803552E-4	-5.147449E-2	1.216975E-3	1.152866E-1
3.23E-3	9.798405E-4	-5.147396E-2	1.218128E-3	1.152871E-1
3.24E-3	9.793258E-4	-5.147343E-2	1.219281E-3	1.152876E-1
3.25E-3	9.78811E-4	-5.14729E-2	1.220434E-3	1.152882E-1
3.26E-3	9.782963E-4	-5.147237E-2	1.221587E-3	1.152887E-1
3.27E-3	9.777816E-4	-5.147184E-2	1.22274E-3	1.152892E-1
3.28E-3	9.772669E-4	-5.147131E-2	1.223893E-3	1.152897E-1
3.29E-3	9.767522E-4	-5.147079E-2	1.225046E-3	1.152903E-1
3.3E-3	9.762374E-4	-5.147026E-2	1.226198E-3	1.152908E-1
3.31E-3	9.757227E-4	-5.146973E-2	1.227351E-3	1.152913E-1
3.32E-3	9.752081E-4	-5.14692E-2	1.228504E-3	1.152918E-1
3.33E-3	9.746934E-4	-5.146867E-2	1.229657E-3	1.152924E-1
3.34E-3	9.741787E-4	-5.146814E-2	1.23081E-3	1.152929E-1
3.35E-3	9.73664E-4	-5.146761E-2	1.231963E-3	1.152934E-1
