Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
1.4452E-3	1.253771E-4	-1.270504E-3	1.265295E-4	3.908988E-3
1.4611E-3	1.253562E-4	-1.348365E-3	1.265925E-4	4.016375E-3
1.477E-3	1.253342E-4	-1.426207E-3	1.266572E-4	4.123798E-3
1.4929E-3	1.253109E-4	-1.504031E-3	1.267236E-4	4.231257E-3
1.5088E-3	1.252864E-4	-1.581833E-3	1.267917E-4	4.338753E-3
1.5247E-3	1.252606E-4	-1.659615E-3	1.268616E-4	4.446287E-3
1.5406E-3	1.252336E-4	-1.737373E-3	1.269331E-4	4.55386E-3
1.5565E-3	1.252053E-4	-1.815108E-3	1.270064E-4	4.661473E-3
1.5724E-3	1.251759E-4	-1.892817E-3	1.270814E-4	4.769128E-3
1.5883E-3	1.251451E-4	-1.970501E-3	1.271581E-4	4.876824E-3
1.6042E-3	1.251132E-4	-2.048157E-3	1.272364E-4	4.984564E-3
1.6201E-3	1.2508E-4	-2.125785E-3	1.273166E-4	5.092348E-3
1.636E-3	1.250456E-4	-2.203384E-3	1.273984E-4	5.200177E-3
1.6519E-3	1.2501E-4	-2.280952E-3	1.274819E-4	5.308052E-3
1.6678E-3	1.249731E-4	-2.358489E-3	1.275672E-4	5.415974E-3
1.6837E-3	1.24935E-4	-2.435992E-3	1.276542E-4	5.523944E-3
1.6996E-3	1.248956E-4	-2.513462E-3	1.277428E-4	5.631964E-3
1.7155E-3	1.24855E-4	-2.590897E-3	1.278333E-4	5.740034E-3
1.7314E-3	1.248132E-4	-2.668296E-3	1.279254E-4	5.848155E-3
1.7473E-3	1.247702E-4	-2.745657E-3	1.280192E-4	5.956328E-3
1.7632E-3	1.247259E-4	-2.82298E-3	1.281148E-4	6.064554E-3
1.7791E-3	1.246804E-4	-2.900264E-3	1.282121E-4	6.172835E-3
1.795E-3	1.246337E-4	-2.977507E-3	1.283111E-4	6.281171E-3
1.8109E-3	1.245857E-4	-3.054709E-3	1.284118E-4	6.389563E-3
1.8268E-3	1.245365E-4	-3.131867E-3	1.285143E-4	6.498013E-3
1.8427E-3	1.244861E-4	-3.208982E-3	1.286185E-4	6.606521E-3
1.8586E-3	1.244345E-4	-3.286051E-3	1.287244E-4	6.715089E-3
1.8745E-3	1.243816E-4	-3.363074E-3	1.28832E-4	6.823717E-3
1.8904E-3	1.243275E-4	-3.44005E-3	1.289414E-4	6.932406E-3
1.9063E-3	1.242722E-4	-3.516978E-3	1.290524E-4	7.041158E-3
1.9222E-3	1.242157E-4	-3.593856E-3	1.291653E-4	7.149974E-3
1.9381E-3	1.241579E-4	-3.670683E-3	1.292798E-4	7.258854E-3
1.954E-3	1.24099E-4	-3.747459E-3	1.293961E-4	7.367801E-3
1.9699E-3	1.240388E-4	-3.824181E-3	1.295141E-4	7.476814E-3
1.9858E-3	1.239774E-4	-3.90085E-3	1.296339E-4	7.585894E-3
2.0017E-3	1.239147E-4	-3.977463E-3	1.297553E-4	7.695044E-3
2.0176E-3	1.238509E-4	-4.05402E-3	1.298786E-4	7.804264E-3
2.0335E-3	1.237858E-4	-4.130519E-3	1.300035E-4	7.913555E-3
2.0494E-3	1.237195E-4	-4.20696E-3	1.301302E-4	8.022918E-3
2.0653E-3	1.23652E-4	-4.283342E-3	1.302586E-4	8.132354E-3
2.0812E-3	1.235833E-4	-4.359662E-3	1.303888E-4	8.241865E-3
2.0971E-3	1.235134E-4	-4.435921E-3	1.305207E-4	8.351451E-3
2.113E-3	1.234423E-4	-4.512116E-3	1.306544E-4	8.461113E-3
2.1289E-3	1.233699E-4	-4.588247E-3	1.307898E-4	8.570853E-3
